message_id,direction,mode,agent_id,peer_agent_id,step,semantic_message,channel_input_text,channel_output_text,raw_token_count,raw_total_bits,channel_token_count,channel_total_bits,encoded_token_count,encoded_total_bits,codebook_size,snr_db,mapped_ter,noise_enabled,token_error_count
1,send,plain_text,0,1,0,I am searching the Livingroom (4000).,I am searching the Livingroom (4000).,I am searching the Livingroom (4000).,10,170,10,170,10,170,,10.0,0.0,False,0
1,send,plain_text,1,0,0,I am going to search the <Kitchen> (5000).,I am going to search the <Kitchen> (5000).,I am going to search the <Kitchen> (5000).,14,238,14,238,14,238,,10.0,0.0,False,0
2,receive,plain_text,0,1,1,I am going to search the <Kitchen> (5000).,I am going to search the <Kitchen> (5000).,I am going to search the <Kitchen> (5000).,14,238,14,238,14,238,,10.0,0.0,False,0
2,receive,plain_text,1,0,1,I am searching the Livingroom (4000).,I am searching the Livingroom (4000).,I am searching the Livingroom (4000).,10,170,10,170,10,170,,10.0,0.0,False,0
3,send,plain_text,1,0,380,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,44,748,44,748,44,748,,10.0,0.0,False,0
3,receive,plain_text,0,1,381,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,Kitchen (5000) update: I took <loaf_bread> (8462939) and <burger> (644476). Remaining here: <loaf_bread> (13967555).,44,748,44,748,44,748,,10.0,0.0,False,0
4,send,plain_text,0,1,619,"Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.","Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.","Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.",51,867,51,867,51,867,,10.0,0.0,False,0
4,receive,plain_text,1,0,620,"Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.","Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.","Livingroom (4000) update: I took <orange> (14249767), <apple> (2419783), and <apple> (10133582). Room is cleared of target objects. All apples and the orange are now collected.",51,867,51,867,51,867,,10.0,0.0,False,0
5,send,plain_text,0,1,843,I am searching the <Bedroom> (2000).,I am searching the <Bedroom> (2000).,I am searching the <Bedroom> (2000).,12,204,12,204,12,204,,10.0,0.0,False,0
5,receive,plain_text,1,0,844,I am searching the <Bedroom> (2000).,I am searching the <Bedroom> (2000).,I am searching the <Bedroom> (2000).,12,204,12,204,12,204,,10.0,0.0,False,0
